 A  0	535.0	550.0
 A  1	530.0	550.0
 A  2	535.0	550.0
 A  3	540.0	560.0
 A  4	540.0	570.0
 A  5	550.0	570.0
 A  6	510.0	570.0
 A  7	515.0	540.0
 A  8	505.0	530.0
 A  9	510.0	540.0
 A 10	520.0	540.0
 A 11	525.0	550.0
 A 12	535.0	560.0
 A 13	540.0	560.0
 A 14	545.0	570.0
 A 15	565.0	580.0
 A 16	530.0	560.0
 A 17	520.0	545.0
 A 18	520.0	550.0
 A 19	520.0	550.0
 A 20	520.0	545.0
 A 21	520.0	545.0
 A 22	510.0	545.0
 A 23	530.0	545.0
 A 24	520.0	555.0
 A 25	520.0	555.0
 A 26	520.0	555.0
 A 27	520.0	555.0
 A 28	520.0	550.0
 A 29	520.0	550.0
 A 30	520.0	550.0
 A 31	520.0	550.0
 A 32	500.0	480.0
 A 33	500.0	480.0
 A 34	510.0	470.0
 A 35	510.0	470.0
 A 36	520.0	470.0
 A 37	530.0	450.0
 A 38	510.0	449.5
 A 39	510.0	460.0
 A 40	490.0	440.0
 A 41	500.0	450.0
 A 42	500.0	450.0
 A 43	510.0	460.0
 A 44	510.0	460.0
 A 45	520.0	470.0
 A 46	530.0	470.0
 A 47	530.0	480.0
 A 48	450.0	430.0
 A 49	440.0	440.0
 A 50	440.0	440.0
 A 51	440.0	440.0
 A 52	430.0	440.0
 A 53	410.0	450.0
 A 54	410.0	420.0
 A 55	420.0	430.0
 A 56	400.0	410.0
 A 57	410.0	420.0
 A 58	410.0	420.0
 A 59	420.0	430.0
 A 60	420.0	430.0
 A 61	430.0	440.0
 A 62	440.0	440.0
 A 63	440.0	450.0
 A 64	430.0	390.0
 A 65	420.0	390.0
 A 66	420.0	390.0
 A 67	420.0	380.0
 A 68	410.0	380.0
 A 69	410.0	380.0
 A 70	410.0	380.0
 A 71	410.0	380.0
 A 72	440.0	410.0
 A 73	440.0	400.0
 A 74	440.0	400.0
 A 75	440.0	400.0
 A 76	440.0	400.0
 A 77	440.0	400.0
 A 78	440.0	400.0
 A 79	440.0	400.0
 A 80	410.0	400.0
