   0	1   1   0   3   0	6	0	0	0	8
   1	1   1   0   3   1	6	0	0	1	9
   2	1   1   0   3   2	6	0	0	2	10
   3	1   1   0   3   3	6	0	0	3	11
   4	1   1   0   3   4	6	0	0	4	12
   5	1   1   0   3   5	6	0	0	5	13
   6	1   1   0   3   6	6	0	0	6	14
   7	1   1   0   3   7	6	0	0	7	15
   8	1   1   0   3   8	6	1	1	0	8
   9	1   1   0   3   9	6	1	1	1	9
   10	1   1   0   3   10	6	1	1	2	10
   11	1   1   0   3   11	6	1	1	3	11
   12	1   1   0   3   12	6	1	1	4	12
   13	1   1   0   3   13	6	1	1	5	13
   14	1   1   0   3   14	6	1	1	6	14
   15	1   1   0   3   15	6	1	1	7	15
   16	1   1   0   3   16	6	2	2	0	8
   17	1   1   0   3   17	6	2	2	1	9
   18	1   1   0   3   18	6	2	2	2	10
   19	1   1   0   3   19	6	2	2	3	11
   20	1   1   0   3   20	6	2	2	4	12
   21	1   1   0   3   21	6	2	2	5	13
   22	1   1   0   3   22	6	2	2	6	14
   23	1   1   0   3   23	6	2	2	7	15
   24	1   1   0   3   24	6	3	3	0	8
   25	1   1   0   3   25	6	3	3	1	9
   26	1   1   0   3   26	6	3	3	2	10
   27	1   1   0   3   27	6	3	3	3	11
   28	1   1   0   3   28	6	3	3	4	12
   29	1   1   0   3   29	6	3	3	5	13
   30	1   1   0   3   30	6	3	3	6	14
   31	1   1   0   3   31	6	3	3	7	15
   32	1   1   0   3   32	5	0	0	0	8
   33	1   1   0   3   33	5	0	0	1	9
   34	1   1   0   3   34	5	0	0	2	10
   35	1   1   0   3   35	5	0	0	3	11
   36	1   1   0   3   36	5	0	0	4	12
   37	1   1   0   3   37	5	0	0	5	13
   38	1   1   0   3   38	5	0	0	6	14
   39	1   1   0   3   39	5	0	0	7	15
   40	1   1   0   3   40	5	1	1	0	8
   41	1   1   0   3   41	5	1	1	1	9
   42	1   1   0   3   42	5	1	1	2	10
   43	1   1   0   3   43	5	1	1	3	11
   44	1   1   0   3   44	5	1	1	4	12
   45	1   1   0   3   45	5	1	1	5	13
   46	1   1   0   3   46	5	1	1	6	14
   47	1   1   0   3   47	5	1	1	7	15
   48	1   1   0   3   48	5	2	2	0	8
   49	1   1   0   3   49	5	2	2	1	9
   50	1   1   0   3   50	5	2	2	2	10
   51	1   1   0   3   51	5	2	2	3	11
   52	1   1   0   3   52	5	2	2	4	12
   53	1   1   0   3   53	5	2	2	5	13
   54	1   1   0   3   54	5	2	2	6	14
   55	1   1   0   3   55	5	2	2	7	15
   56	1   1   0   3   56	5	3	3	0	8
   57	1   1   0   3   57	5	3	3	1	9
   58	1   1   0   3   58	5	3	3	2	10
   59	1   1   0   3   59	5	3	3	3	11
   60	1   1   0   3   60	5	3	3	4	12
   61	1   1   0   3   61	5	3	3	5	13
   62	1   1   0   3   62	5	3	3	6	14
   63	1   1   0   3   63	5	3	3	7	15
   64	1   1   0   3   64	5	4	4	0	8
   65	1   1   0   3   65	5	4	4	1	9
   66	1   1   0   3   66	5	4	4	2	10
   67	1   1   0   3   67	5	4	4	3	11
   68	1   1   0   3   68	5	4	4	4	12
   69	1   1   0   3   69	5	4	4	5	13
   70	1   1   0   3   70	5	4	4	6	14
   71	1   1   0   3   71	5	4	4	7	15
   72	1   1   0   3   72	5	5	5	0	8
   73	1   1   0   3   73	5	5	5	1	9
   74	1   1   0   3   74	5	5	5	2	10
   75	1   1   0   3   75	5	5	5	3	11
   76	1   1   0   3   76	5	5	5	4	12
   77	1   1   0   3   77	5	5	5	5	13
   78	1   1   0   3   78	5	5	5	6	14
   79	1   1   0   3   79	5	5	5	7	15
   80	1   1   0   3   80	5	6	6	0	8
   81	1   1   0   3   81	5	6	6	1	9
   82	1   1   0   3   82	5	6	6	2	10
   83	1   1   0   3   83	5	6	6	3	11
   84	1   1   0   3   84	5	6	6	4	12
   85	1   1   0   3   85	5	6	6	5	13
   86	1   1   0   3   86	5	6	6	6	14
   87	1   1   0   3   87	5	6	6	7	15
   88	1   1   0   3   88	5	7	7	0	8
   89	1   1   0   3   89	5	7	7	1	9
   90	1   1   0   3   90	5	7	7	2	10
   91	1   1   0   3   91	5	7	7	3	11
   92	1   1   0   3   92	5	7	7	4	12
   93	1   1   0   3   93	5	7	7	5	13
   94	1   1   0   3   94	5	7	7	6	14
   95	1   1   0   3   95	5	7	7	7	15
   96	1   1   0   2   0	6	4	4	0	8
   97	1   1   0   2   1	6	4	4	1	9
   98	1   1   0   2   2	6	4	4	2	10
   99	1   1   0   2   3	6	4	4	3	11
   100	1   1   0   2   4	6	4	4	4	12
   101	1   1   0   2   5	6	4	4	5	13
   102	1   1   0   2   6	6	4	4	6	14
   103	1   1   0   2   7	6	4	4	7	15
   104	1   1   0   2   8	6	5	5	0	8
   105	1   1   0   2   9	6	5	5	1	9
   106	1   1   0   2   10	6	5	5	2	10
   107	1   1   0   2   11	6	5	5	3	11
   108	1   1   0   2   12	6	5	5	4	12
   109	1   1   0   2   13	6	5	5	5	13
   110	1   1   0   2   14	6	5	5	6	14
   111	1   1   0   2   15	6	5	5	7	15
   112	1   1   0   2   16	6	6	6	0	8
   113	1   1   0   2   17	6	6	6	1	9
   114	1   1   0   2   18	6	6	6	2	10
   115	1   1   0   2   19	6	6	6	3	11
   116	1   1   0   2   20	6	6	6	4	12
   117	1   1   0   2   21	6	6	6	5	13
   118	1   1   0   2   22	6	6	6	6	14
   119	1   1   0   2   23	6	6	6	7	15
   120	1   1   0   2   24	6	7	7	0	8
   121	1   1   0   2   25	6	7	7	1	9
   122	1   1   0   2   26	6	7	7	2	10
   123	1   1   0   2   27	6	7	7	3	11
   124	1   1   0   2   28	6	7	7	4	12
   125	1   1   0   2   29	6	7	7	5	13
   126	1   1   0   2   30	6	7	7	6	14
   127	1   1   0   2   31	6	7	7	7	15
   128	1   1   0   2   32	5	8	8	0	8
   129	1   1   0   2   33	5	8	8	1	9
   130	1   1   0   2   34	5	8	8	2	10
   131	1   1   0   2   35	5	8	8	3	11
   132	1   1   0   2   36	5	8	8	4	12
   133	1   1   0   2   37	5	8	8	5	13
   134	1   1   0   2   38	5	8	8	6	14
   135	1   1   0   2   39	5	8	8	7	15
   136	1   1   0   2   40	5	9	9	0	8
   137	1   1   0   2   41	5	9	9	1	9
   138	1   1   0   2   42	5	9	9	2	10
   139	1   1   0   2   43	5	9	9	3	11
   140	1   1   0   2   44	5	9	9	4	12
   141	1   1   0   2   45	5	9	9	5	13
   142	1   1   0   2   46	5	9	9	6	14
   143	1   1   0   2   47	5	9	9	7	15
   144	1   1   0   2   48	5	10	10	0	8
   145	1   1   0   2   49	5	10	10	1	9
   146	1   1   0   2   50	5	10	10	2	10
   147	1   1   0   2   51	5	10	10	3	11
   148	1   1   0   2   52	5	10	10	4	12
   149	1   1   0   2   53	5	10	10	5	13
   150	1   1   0   2   54	5	10	10	6	14
   151	1   1   0   2   55	5	10	10	7	15
   152	1   1   0   2   56	5	11	11	0	8
   153	1   1   0   2   57	5	11	11	1	9
   154	1   1   0   2   58	5	11	11	2	10
   155	1   1   0   2   59	5	11	11	3	11
   156	1   1   0   2   60	5	11	11	4	12
   157	1   1   0   2   61	5	11	11	5	13
   158	1   1   0   2   62	5	11	11	6	14
   159	1   1   0   2   63	5	11	11	7	15
   160	1   1   0   2   64	5	12	12	0	8
   161	1   1   0   2   65	5	12	12	1	9
   162	1   1   0   2   66	5	12	12	2	10
   163	1   1   0   2   67	5	12	12	3	11
   164	1   1   0   2   68	5	12	12	4	12
   165	1   1   0   2   69	5	12	12	5	13
   166	1   1   0   2   70	5	12	12	6	14
   167	1   1   0   2   71	5	12	12	7	15
   168	1   1   0   2   72	5	13	13	0	8
   169	1   1   0   2   73	5	13	13	1	9
   170	1   1   0   2   74	5	13	13	2	10
   171	1   1   0   2   75	5	13	13	3	11
   172	1   1   0   2   76	5	13	13	4	12
   173	1   1   0   2   77	5	13	13	5	13
   174	1   1   0   2   78	5	13	13	6	14
   175	1   1   0   2   79	5	13	13	7	15
   176	1   1   0   2   80	5	14	14	0	8
   177	1   1   0   2   81	5	14	14	1	9
   178	1   1   0   2   82	5	14	14	2	10
   179	1   1   0   2   83	5	14	14	3	11
   180	1   1   0   2   84	5	14	14	4	12
   181	1   1   0   2   85	5	14	14	5	13
   182	1   1   0   2   86	5	14	14	6	14
   183	1   1   0   2   87	5	14	14	7	15
   184	1   1   0   2   88	5	15	15	0	8
   185	1   1   0   2   89	5	15	15	1	9
   186	1   1   0   2   90	5	15	15	2	10
   187	1   1   0   2   91	5	15	15	3	11
   188	1   1   0   2   92	5	15	15	4	12
   189	1   1   0   2   93	5	15	15	5	13
   190	1   1   0   2   94	5	15	15	6	14
   191	1   1   0   2   95	5	15	15	7	15
   192	1   1   0   1   0	6	8	8	0	8
   193	1   1   0   1   1	6	8	8	1	9
   194	1   1   0   1   2	6	8	8	2	10
   195	1   1   0   1   3	6	8	8	3	11
   196	1   1   0   1   4	6	8	8	4	12
   197	1   1   0   1   5	6	8	8	5	13
   198	1   1   0   1   6	6	8	8	6	14
   199	1   1   0   1   7	6	8	8	7	15
   200	1   1   0   1   8	6	9	9	0	8
   201	1   1   0   1   9	6	9	9	1	9
   202	1   1   0   1   10	6	9	9	2	10
   203	1   1   0   1   11	6	9	9	3	11
   204	1   1   0   1   12	6	9	9	4	12
   205	1   1   0   1   13	6	9	9	5	13
   206	1   1   0   1   14	6	9	9	6	14
   207	1   1   0   1   15	6	9	9	7	15
   208	1   1   0   1   16	6	10	10	0	8
   209	1   1   0   1   17	6	10	10	1	9
   210	1   1   0   1   18	6	10	10	2	10
   211	1   1   0   1   19	6	10	10	3	11
   212	1   1   0   1   20	6	10	10	4	12
   213	1   1   0   1   21	6	10	10	5	13
   214	1   1   0   1   22	6	10	10	6	14
   215	1   1   0   1   23	6	10	10	7	15
   216	1   1   0   1   24	6	11	11	0	8
   217	1   1   0   1   25	6	11	11	1	9
   218	1   1   0   1   26	6	11	11	2	10
   219	1   1   0   1   27	6	11	11	3	11
   220	1   1   0   1   28	6	11	11	4	12
   221	1   1   0   1   29	6	11	11	5	13
   222	1   1   0   1   30	6	11	11	6	14
   223	1   1   0   1   31	6	11	11	7	15
   224	1   1   0   1   32	4	0	0	0	8
   225	1   1   0   1   33	4	0	0	1	9
   226	1   1   0   1   34	4	0	0	2	10
   227	1   1   0   1   35	4	0	0	3	11
   228	1   1   0   1   36	4	0	0	4	12
   229	1   1   0   1   37	4	0	0	5	13
   230	1   1   0   1   38	4	0	0	6	14
   231	1   1   0   1   39	4	0	0	7	15
   232	1   1   0   1   40	4	1	1	0	8
   233	1   1   0   1   41	4	1	1	1	9
   234	1   1   0   1   42	4	1	1	2	10
   235	1   1   0   1   43	4	1	1	3	11
   236	1   1   0   1   44	4	1	1	4	12
   237	1   1   0   1   45	4	1	1	5	13
   238	1   1   0   1   46	4	1	1	6	14
   239	1   1   0   1   47	4	1	1	7	15
   240	1   1   0   1   48	4	2	2	0	8
   241	1   1   0   1   49	4	2	2	1	9
   242	1   1   0   1   50	4	2	2	2	10
   243	1   1   0   1   51	4	2	2	3	11
   244	1   1   0   1   52	4	2	2	4	12
   245	1   1   0   1   53	4	2	2	5	13
   246	1   1   0   1   54	4	2	2	6	14
   247	1   1   0   1   55	4	2	2	7	15
   248	1   1   0   1   56	4	3	3	0	8
   249	1   1   0   1   57	4	3	3	1	9
   250	1   1   0   1   58	4	3	3	2	10
   251	1   1   0   1   59	4	3	3	3	11
   252	1   1   0   1   60	4	3	3	4	12
   253	1   1   0   1   61	4	3	3	5	13
   254	1   1   0   1   62	4	3	3	6	14
   255	1   1   0   1   63	4	3	3	7	15
   256	1   1   0   1   64	4	4	4	0	8
   257	1   1   0   1   65	4	4	4	1	9
   258	1   1   0   1   66	4	4	4	2	10
   259	1   1   0   1   67	4	4	4	3	11
   260	1   1   0   1   68	4	4	4	4	12
   261	1   1   0   1   69	4	4	4	5	13
   262	1   1   0   1   70	4	4	4	6	14
   263	1   1   0   1   71	4	4	4	7	15
   264	1   1   0   1   72	4	5	5	0	8
   265	1   1   0   1   73	4	5	5	1	9
   266	1   1   0   1   74	4	5	5	2	10
   267	1   1   0   1   75	4	5	5	3	11
   268	1   1   0   1   76	4	5	5	4	12
   269	1   1   0   1   77	4	5	5	5	13
   270	1   1   0   1   78	4	5	5	6	14
   271	1   1   0   1   79	4	5	5	7	15
   272	1   1   0   1   80	4	6	6	0	8
   273	1   1   0   1   81	4	6	6	1	9
   274	1   1   0   1   82	4	6	6	2	10
   275	1   1   0   1   83	4	6	6	3	11
   276	1   1   0   1   84	4	6	6	4	12
   277	1   1   0   1   85	4	6	6	5	13
   278	1   1   0   1   86	4	6	6	6	14
   279	1   1   0   1   87	4	6	6	7	15
   280	1   1   0   1   88	4	7	7	0	8
   281	1   1   0   1   89	4	7	7	1	9
   282	1   1   0   1   90	4	7	7	2	10
   283	1   1   0   1   91	4	7	7	3	11
   284	1   1   0   1   92	4	7	7	4	12
   285	1   1   0   1   93	4	7	7	5	13
   286	1   1   0   1   94	4	7	7	6	14
   287	1   1   0   1   95	4	7	7	7	15
   288	1   1   0   0   0	6	12	12	0	8
   289	1   1   0   0   1	6	12	12	1	9
   290	1   1   0   0   2	6	12	12	2	10
   291	1   1   0   0   3	6	12	12	3	11
   292	1   1   0   0   4	6	12	12	4	12
   293	1   1   0   0   5	6	12	12	5	13
   294	1   1   0   0   6	6	12	12	6	14
   295	1   1   0   0   7	6	12	12	7	15
   296	1   1   0   0   8	6	13	13	0	8
   297	1   1   0   0   9	6	13	13	1	9
   298	1   1   0   0   10	6	13	13	2	10
   299	1   1   0   0   11	6	13	13	3	11
   300	1   1   0   0   12	6	13	13	4	12
   301	1   1   0   0   13	6	13	13	5	13
   302	1   1   0   0   14	6	13	13	6	14
   303	1   1   0   0   15	6	13	13	7	15
   304	1   1   0   0   16	6	14	14	0	8
   305	1   1   0   0   17	6	14	14	1	9
   306	1   1   0   0   18	6	14	14	2	10
   307	1   1   0   0   19	6	14	14	3	11
   308	1   1   0   0   20	6	14	14	4	12
   309	1   1   0   0   21	6	14	14	5	13
   310	1   1   0   0   22	6	14	14	6	14
   311	1   1   0   0   23	6	14	14	7	15
   312	1   1   0   0   24	6	15	15	0	8
   313	1   1   0   0   25	6	15	15	1	9
   314	1   1   0   0   26	6	15	15	2	10
   315	1   1   0   0   27	6	15	15	3	11
   316	1   1   0   0   28	6	15	15	4	12
   317	1   1   0   0   29	6	15	15	5	13
   318	1   1   0   0   30	6	15	15	6	14
   319	1   1   0   0   31	6	15	15	7	15
   320	1   1   0   0   32	4	8	8	0	8
   321	1   1   0   0   33	4	8	8	1	9
   322	1   1   0   0   34	4	8	8	2	10
   323	1   1   0   0   35	4	8	8	3	11
   324	1   1   0   0   36	4	8	8	4	12
   325	1   1   0   0   37	4	8	8	5	13
   326	1   1   0   0   38	4	8	8	6	14
   327	1   1   0   0   39	4	8	8	7	15
   328	1   1   0   0   40	4	9	9	0	8
   329	1   1   0   0   41	4	9	9	1	9
   330	1   1   0   0   42	4	9	9	2	10
   331	1   1   0   0   43	4	9	9	3	11
   332	1   1   0   0   44	4	9	9	4	12
   333	1   1   0   0   45	4	9	9	5	13
   334	1   1   0   0   46	4	9	9	6	14
   335	1   1   0   0   47	4	9	9	7	15
   336	1   1   0   0   48	4	10	10	0	8
   337	1   1   0   0   49	4	10	10	1	9
   338	1   1   0   0   50	4	10	10	2	10
   339	1   1   0   0   51	4	10	10	3	11
   340	1   1   0   0   52	4	10	10	4	12
   341	1   1   0   0   53	4	10	10	5	13
   342	1   1   0   0   54	4	10	10	6	14
   343	1   1   0   0   55	4	10	10	7	15
   344	1   1   0   0   56	4	11	11	0	8
   345	1   1   0   0   57	4	11	11	1	9
   346	1   1   0   0   58	4	11	11	2	10
   347	1   1   0   0   59	4	11	11	3	11
   348	1   1   0   0   60	4	11	11	4	12
   349	1   1   0   0   61	4	11	11	5	13
   350	1   1   0   0   62	4	11	11	6	14
   351	1   1   0   0   63	4	11	11	7	15
   352	1   1   0   0   64	4	12	12	0	8
   353	1   1   0   0   65	4	12	12	1	9
   354	1   1   0   0   66	4	12	12	2	10
   355	1   1   0   0   67	4	12	12	3	11
   356	1   1   0   0   68	4	12	12	4	12
   357	1   1   0   0   69	4	12	12	5	13
   358	1   1   0   0   70	4	12	12	6	14
   359	1   1   0   0   71	4	12	12	7	15
   360	1   1   0   0   72	4	13	13	0	8
   361	1   1   0   0   73	4	13	13	1	9
   362	1   1   0   0   74	4	13	13	2	10
   363	1   1   0   0   75	4	13	13	3	11
   364	1   1   0   0   76	4	13	13	4	12
   365	1   1   0   0   77	4	13	13	5	13
   366	1   1   0   0   78	4	13	13	6	14
   367	1   1   0   0   79	4	13	13	7	15
   368	1   1   0   0   80	4	14	14	0	8
   369	1   1   0   0   81	4	14	14	1	9
   370	1   1   0   0   82	4	14	14	2	10
   371	1   1   0   0   83	4	14	14	3	11
   372	1   1   0   0   84	4	14	14	4	12
   373	1   1   0   0   85	4	14	14	5	13
   374	1   1   0   0   86	4	14	14	6	14
   375	1   1   0   0   87	4	14	14	7	15
   376	1   1   0   0   88	4	15	15	0	8
   377	1   1   0   0   89	4	15	15	1	9
   378	1   1   0   0   90	4	15	15	2	10
   379	1   1   0   0   91	4	15	15	3	11
   380	1   1   0   0   92	4	15	15	4	12
   381	1   1   0   0   93	4	15	15	5	13
   382	1   1   0   0   94	4	15	15	6	14
   383	1   1   0   0   95	4	15	15	7	15
   384	1   1   1   0   0	2	0	0	0	8
   385	1   1   1   0   1	2	0	0	1	9
   386	1   1   1   0   2	2	0	0	2	10
   387	1   1   1   0   3	2	0	0	3	11
   388	1   1   1   0   4	2	0	0	4	12
   389	1   1   1   0   5	2	0	0	5	13
   390	1   1   1   0   6	2	0	0	6	14
   391	1   1   1   0   7	2	0	0	7	15
   392	1   1   1   0   8	2	1	1	0	8
   393	1   1   1   0   9	2	1	1	1	9
   394	1   1   1   0   10	2	1	1	2	10
   395	1   1   1   0   11	2	1	1	3	11
   396	1   1   1   0   12	2	1	1	4	12
   397	1   1   1   0   13	2	1	1	5	13
   398	1   1   1   0   14	2	1	1	6	14
   399	1   1   1   0   15	2	1	1	7	15
   400	1   1   1   0   16	2	2	2	0	8
   401	1   1   1   0   17	2	2	2	1	9
   402	1   1   1   0   18	2	2	2	2	10
   403	1   1   1   0   19	2	2	2	3	11
   404	1   1   1   0   20	2	2	2	4	12
   405	1   1   1   0   21	2	2	2	5	13
   406	1   1   1   0   22	2	2	2	6	14
   407	1   1   1   0   23	2	2	2	7	15
   408	1   1   1   0   24	2	3	3	0	8
   409	1   1   1   0   25	2	3	3	1	9
   410	1   1   1   0   26	2	3	3	2	10
   411	1   1   1   0   27	2	3	3	3	11
   412	1   1   1   0   28	2	3	3	4	12
   413	1   1   1   0   29	2	3	3	5	13
   414	1   1   1   0   30	2	3	3	6	14
   415	1   1   1   0   31	2	3	3	7	15
   416	1   1   1   0   32	0	0	0	0	8
   417	1   1   1   0   33	0	0	0	1	9
   418	1   1   1   0   34	0	0	0	2	10
   419	1   1   1   0   35	0	0	0	3	11
   420	1   1   1   0   36	0	0	0	4	12
   421	1   1   1   0   37	0	0	0	5	13
   422	1   1   1   0   38	0	0	0	6	14
   423	1   1   1   0   39	0	0	0	7	15
   424	1   1   1   0   40	0	1	1	0	8
   425	1   1   1   0   41	0	1	1	1	9
   426	1   1   1   0   42	0	1	1	2	10
   427	1   1   1   0   43	0	1	1	3	11
   428	1   1   1   0   44	0	1	1	4	12
   429	1   1   1   0   45	0	1	1	5	13
   430	1   1   1   0   46	0	1	1	6	14
   431	1   1   1   0   47	0	1	1	7	15
   432	1   1   1   0   48	0	2	2	0	8
   433	1   1   1   0   49	0	2	2	1	9
   434	1   1   1   0   50	0	2	2	2	10
   435	1   1   1   0   51	0	2	2	3	11
   436	1   1   1   0   52	0	2	2	4	12
   437	1   1   1   0   53	0	2	2	5	13
   438	1   1   1   0   54	0	2	2	6	14
   439	1   1   1   0   55	0	2	2	7	15
   440	1   1   1   0   56	0	3	3	0	8
   441	1   1   1   0   57	0	3	3	1	9
   442	1   1   1   0   58	0	3	3	2	10
   443	1   1   1   0   59	0	3	3	3	11
   444	1   1   1   0   60	0	3	3	4	12
   445	1   1   1   0   61	0	3	3	5	13
   446	1   1   1   0   62	0	3	3	6	14
   447	1   1   1   0   63	0	3	3	7	15
   448	1   1   1   0   64	0	4	4	0	8
   449	1   1   1   0   65	0	4	4	1	9
   450	1   1   1   0   66	0	4	4	2	10
   451	1   1   1   0   67	0	4	4	3	11
   452	1   1   1   0   68	0	4	4	4	12
   453	1   1   1   0   69	0	4	4	5	13
   454	1   1   1   0   70	0	4	4	6	14
   455	1   1   1   0   71	0	4	4	7	15
   456	1   1   1   0   72	0	5	5	0	8
   457	1   1   1   0   73	0	5	5	1	9
   458	1   1   1   0   74	0	5	5	2	10
   459	1   1   1   0   75	0	5	5	3	11
   460	1   1   1   0   76	0	5	5	4	12
   461	1   1   1   0   77	0	5	5	5	13
   462	1   1   1   0   78	0	5	5	6	14
   463	1   1   1   0   79	0	5	5	7	15
   464	1   1   1   0   80	0	6	6	0	8
   465	1   1   1   0   81	0	6	6	1	9
   466	1   1   1   0   82	0	6	6	2	10
   467	1   1   1   0   83	0	6	6	3	11
   468	1   1   1   0   84	0	6	6	4	12
   469	1   1   1   0   85	0	6	6	5	13
   470	1   1   1   0   86	0	6	6	6	14
   471	1   1   1   0   87	0	6	6	7	15
   472	1   1   1   0   88	0	7	7	0	8
   473	1   1   1   0   89	0	7	7	1	9
   474	1   1   1   0   90	0	7	7	2	10
   475	1   1   1   0   91	0	7	7	3	11
   476	1   1   1   0   92	0	7	7	4	12
   477	1   1   1   0   93	0	7	7	5	13
   478	1   1   1   0   94	0	7	7	6	14
   479	1   1   1   0   95	0	7	7	7	15
   480	1   1   1   1   0	2	4	4	0	8
   481	1   1   1   1   1	2	4	4	1	9
   482	1   1   1   1   2	2	4	4	2	10
   483	1   1   1   1   3	2	4	4	3	11
   484	1   1   1   1   4	2	4	4	4	12
   485	1   1   1   1   5	2	4	4	5	13
   486	1   1   1   1   6	2	4	4	6	14
   487	1   1   1   1   7	2	4	4	7	15
   488	1   1   1   1   8	2	5	5	0	8
   489	1   1   1   1   9	2	5	5	1	9
   490	1   1   1   1   10	2	5	5	2	10
   491	1   1   1   1   11	2	5	5	3	11
   492	1   1   1   1   12	2	5	5	4	12
   493	1   1   1   1   13	2	5	5	5	13
   494	1   1   1   1   14	2	5	5	6	14
   495	1   1   1   1   15	2	5	5	7	15
   496	1   1   1   1   16	2	6	6	0	8
   497	1   1   1   1   17	2	6	6	1	9
   498	1   1   1   1   18	2	6	6	2	10
   499	1   1   1   1   19	2	6	6	3	11
   500	1   1   1   1   20	2	6	6	4	12
   501	1   1   1   1   21	2	6	6	5	13
   502	1   1   1   1   22	2	6	6	6	14
   503	1   1   1   1   23	2	6	6	7	15
   504	1   1   1   1   24	2	7	7	0	8
