   6   0   0	0.0292388
   6   0   8	0.0277049
   6   0   1	0.028071
   6   0   9	0.0272468
   6   0   2	0.0285398
   6   0   10	0.0277924
   6   0   3	0.0280487
   6   0   11	0.0279593
   6   0   4	0.0292489
   6   0   12	0.0282206
   6   0   5	0.0280327
   6   0   13	0.0279398
   6   0   6	0.027838
   6   0   14	0.0283296
   6   0   7	0.0286208
   6   0   15	0.0277363
   6   1   0	0.0270214
   6   1   8	0.0288194
   6   1   1	0.0266677
   6   1   9	0.0286404
   6   1   2	0.0263423
   6   1   10	0.0281014
   6   1   3	0.0266877
   6   1   11	0.0281107
   6   1   4	0.0290954
   6   1   12	0.0279673
   6   1   5	0.0282537
   6   1   13	0.0280972
   6   1   6	0.0276271
   6   1   14	0.0284204
   6   1   7	0.0286548
   6   1   15	0.0279666
   6   2   0	0.026665
   6   2   8	0.0284391
   6   2   1	0.0276573
   6   2   9	0.0269358
   6   2   2	0.0281539
   6   2   10	0.0278061
   6   2   3	0.0273562
   6   2   11	0.0271221
   6   2   4	0.0277684
   6   2   12	0.0285456
   6   2   5	0.0275393
   6   2   13	0.0272784
   6   2   6	0.0278678
   6   2   14	0.0282224
   6   2   7	0.0275696
   6   2   15	0.0279046
   6   3   0	0.0271816
   6   3   8	0.0276944
   6   3   1	0.0270165
   6   3   9	0.0281147
   6   3   2	0.0271471
   6   3   10	0.0278097
   6   3   3	0.0278412
   6   3   11	0.0279503
   6   3   4	0.0266114
   6   3   12	0.0279583
   6   3   5	0.0273676
   6   3   13	0.0284567
   6   3   6	0.0275738
   6   3   14	0.0276162
   6   3   7	0.0279027
   6   3   15	0.0274465
   5   0   0	0.0282964
   5   0   8	0.0285842
   5   0   1	0.0281621
   5   0   9	0.0281367
   5   0   2	0.0280765
   5   0   10	0.0293848
   5   0   3	0.0286118
   5   0   11	0.0287924
   5   0   4	0.0276284
   5   0   12	0.0291313
   5   0   5	0.0278946
   5   0   13	0.0300661
   5   0   6	0.0277723
   5   0   14	0.0297024
   5   0   7	0.0275304
   5   0   15	0.0302068
   5   1   0	0.0270051
   5   1   8	0.028786
   5   1   1	0.0276323
   5   1   9	0.0287825
   5   1   2	0.0270249
   5   1   10	0.0283804
   5   1   3	0.0271248
   5   1   11	0.0295387
   5   1   4	0.0277402
   5   1   12	0.0286181
   5   1   5	0.0276513
   5   1   13	0.0281347
   5   1   6	0.0279471
   5   1   14	0.0276331
   5   1   7	0.0277788
   5   1   15	0.0280792
   5   2   0	0.0276547
   5   2   8	0.0271023
   5   2   1	0.0280666
