407951	407951	1	5	-1
407951	407951	1	7	-1
407951	407951	20	6	-1
407951	407951	30	6	-1
407951	407951	30	7	-1
407951	407951	31	5	-1
407951	407951	31	7	-1
407951	407951	25	7	-1
407951	407951	38	7	-1
407951	407951	40	7	-1
407951	407951	51	0	-1
407951	407951	51	1	-1
407951	407951	51	2	-1
407951	407951	51	3	-1
407951	407951	51	4	-1
407951	407951	51	5	-1
407951	407951	51	6	-1
407951	407951	51	7	-1
407951	407951	41	0	-1
407951	407951	41	1	-1
407951	407951	41	2	-1
407951	407951	41	3	-1
407951	407951	41	4	-1
407951	407951	41	5	-1
407951	407951	41	6	-1
407951	407951	41	7	-1
407951	407951	47	7	-1
407951	407951	58	3	-1
407951	407951	59	0	-1
